object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_artist,_place_of_origin,_style,_department,_technique,_image_id,_classification,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,aligned_museum,aligned_period,aligned_type,aligned_material
11125,查尔斯·钱德莱尔,1842,,白色中国纸上的黑色石版画，放在象牙编织纸上,,Image: 21.1 × 18.9 cm (8 5/16 × 7 1/2 in.); Chine: 24.3 × 18.9 cm (9 9/16 × 7 1/2 in.); Sheet: 35.5 × 27.2 cm (14 × 10 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/11125,"https://www.artic.edu/iiif/2/9ca08f3d-80e6-b069-26c5-418956b0ff45/full/843,/0/default.jpg",,版画和绘画俱乐部的礼物,,2026-05-27,1842,未知,象牙,未知,0.8,"Paul Gavarni
French, 1804-1866",France,,Prints and Drawings,,9ca08f3d-80e6-b069-26c5-418956b0ff45,,,False,Charles Chandellier,1842,,"Lithograph in black on white China paper, laid down on ivory wove paper",,Unknown,Gift of the Print and Drawing Club,1842,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1842),未知,象牙
34078,食物容器,西周（公元前1046-771年），公元前11世纪下半叶,,青铜,,At lip: Diam.: 22.2 cm (8 3/4 in.); H.: 27 cm (10 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/34078,"https://www.artic.edu/iiif/2/982ef7d9-36e7-a630-ed05-81d67537b2f9/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,西周（公元前1046-771年）,未知,青铜,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,982ef7d9-36e7-a630-ed05-81d67537b2f9,,,False,Food container,"Western Zhou dynasty ( 1046–771 BC ), 2nd half of 11th century BC",,Bronze,,Chinese,Lucy Maud Buckingham Collection,Western Zhou dynasty (1046-771 BCE),Unknown,Bronze,Art Institute of Chicago,Song dynasty (c. 1046),未知,青铜
12786,一对墓室门,西汉王朝（公元前206年-公元9年），公元前1世纪。,,灰色陶器，有压印和雕刻装饰,,A (left door): 92.6 × 52.0 × 7.2 cm (36 7/16 × 20 1/2 × 2 13/16 in.); b (right door): 91.4 × 49.9 × 7.2 cm (36 × 19 5/8 × 2 13/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/12786,"https://www.artic.edu/iiif/2/588f96b7-8b01-d7b1-a4d2-07db52b5ca1f/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,汉朝（公元前206年-公元220年）,未知,陶器,中文,0.8,"China; probably from Zhengzhou, Henan province",China,Chinese (culture or style),Arts of Asia,,588f96b7-8b01-d7b1-a4d2-07db52b5ca1f,,,False,Pair of Tomb Chamber Doors,"Western Han dynasty (206 B.C.–A.D. 9), 1st century B.C.",,Gray earthenware with impressed and carved decoration,,Chinese,Lucy Maud Buckingham Collection,Han dynasty (206 BCE-220 CE),Unknown,Earthenware,Art Institute of Chicago,汉朝（公元前206年-公元220年）,未知,陶器
12741,长方形把手花瓶,清朝（1644-1911），乾隆统治时期（1736-1795）,,淡薰衣草蓝（天蓝）釉瓷器,,30.1 × 13.4 cm (11 7/8 × 5 1/4 in.); Diam.: 13.4 cm (5 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/12741,"https://www.artic.edu/iiif/2/a6cbb336-cf86-2454-85e9-23a09f354fe6/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,清朝（1644-1912）,未知,瓷,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,a6cbb336-cf86-2454-85e9-23a09f354fe6,,,False,Vase with Rectangular Handles,"Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)",,Porcelain with pale lavender-blue (tianlan) glaze,,Chinese,Lucy Maud Buckingham Collection,Qing dynasty (1644-1912),Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1644),未知,瓷
8099,死亡喜剧（La comédie de La mort）,1854,,白色编织纸上的奶油瓷纸上的石版画,,Image: 21.7 × 15 cm (8 9/16 × 5 15/16 in.); Sheet: 28.4 × 19.5 cm (11 3/16 × 7 11/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/8099,"https://www.artic.edu/iiif/2/a66c8156-2399-bb4e-ea45-7fbfeff9f686/full/843,/0/default.jpg",,沃尔特·布鲁斯特的礼物,,2026-05-27,1854,未知,白色编织纸上的奶油瓷纸上的石版画,未知,0.8,"Rodolphe Bresdin
French, 1825-1885",France,,Prints and Drawings,,a66c8156-2399-bb4e-ea45-7fbfeff9f686,,,False,The Comedy of Death (La comédie de la mort),1854,,Lithograph on cream China paper laid down on white wove paper,,Unknown,Gift of Walter S. Brewster,1854,Unknown,Lithograph on cream China paper laid down on white wove paper,Art Institute of Chicago,Qing dynasty (c. 1854),未知,瓷
20561,两幅以河流为背景的斜倚图,1963,,中国纸上黑色、灰色、棕色、赭色和绿色的石版画,,Image: 30.5 × 62.8 cm (12 1/16 × 24 3/4 in.); Sheet: 50.1 × 81.9 cm (19 3/4 × 32 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/20561,"https://www.artic.edu/iiif/2/6f095ee3-b646-2551-0a85-ec0a143ddbb3/full/843,/0/default.jpg",,用Joseph R.Shapiro提供的资金购买,,2026-05-27,1963,未知,中国纸上黑色、灰色、棕色、赭色和绿色的石版画,未知,0.8,"Henry Spencer Moore
English, 1898-1986",England,,Prints and Drawings,,6f095ee3-b646-2551-0a85-ec0a143ddbb3,,,False,Two Reclining Figures with River Background,1963,,"Lithograph in black, gray, brown, ochre, and green on China paper",,Unknown,Purchased with funds provided by Joseph R. Shapiro,1963,Unknown,"Lithograph in black, gray, brown, ochre, and green on China paper",Art Institute of Chicago,Qing dynasty (c. 1963),未知,纸
35384,凤凰头尤尔,唐朝（618-907），8世纪上半叶,,模压装饰和三色铅釉陶器,,32.2 × 13 cm (12 3/4 × 5 1/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/35384,"https://www.artic.edu/iiif/2/4c00e0b4-cbe4-6e35-aa25-d81b20e59738/full/843,/0/default.jpg",,宝琳·帕尔默·伍德的礼物,,2026-05-27,唐朝（618-907）,未知,陶器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,4c00e0b4-cbe4-6e35-aa25-d81b20e59738,,,False,Phoenix-Headed Ewer,"Tang dynasty (618–907), first half of 8th century",,Earthenware with molded decoration and three-color (sancai) lead glazes,,Chinese,Gift of Pauline Palmer Wood,Tang dynasty (618-907),Unknown,Earthenware,Art Institute of Chicago,Tang dynasty (c. 618),未知,陶器
7544,贾（胡）,罐子：汉朝（公元前206年-公元220年）；装饰：20世纪,,刻有镀金装饰的青铜,,32.4 × 26.4 cm (13 1/16 × 10 7/8 in.); Diam.: 27.7 cm (10 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/7544,"https://www.artic.edu/iiif/2/ac6666b8-5a2d-9086-ac42-ae36fa62bc57/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,汉朝（公元前206年-公元220年）,未知,青铜,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,ac6666b8-5a2d-9086-ac42-ae36fa62bc57,,,False,Jar (Hu),Jar: Han dynasty (206 BC–220 AD); decoration: 20th century,,Bronze with incised gilt decoration,,Chinese,Lucy Maud Buckingham Collection,Han dynasty (206 BCE-220 CE),Unknown,Bronze,Art Institute of Chicago,汉朝（公元前206年-公元220年）,未知,青铜
21745,双头安芙兰花瓶,隋朝（581-618）,,釉下模压装饰的石器,,17.5 × 10.7 × 7.3 cm (6 7/8 × 4 3/16 × 2 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/21745,"https://www.artic.edu/iiif/2/3c05cc52-5fbc-7ffc-e23f-1f4b01a711af/full/843,/0/default.jpg",,拉塞尔·泰森的遗赠,,2026-05-27,隋朝（581-618）,未知,炻器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,3c05cc52-5fbc-7ffc-e23f-1f4b01a711af,,,False,Double-Bodied Amphora Vase,Sui dynasty (581–618),,Stoneware with underglaze molded decoration,,Chinese,Bequest of Russell Tyson,Sui dynasty (581-618),Unknown,Stoneware,Art Institute of Chicago,隋朝（581-618）,未知,炻器
76279,杨浦举家搬迁,元朝（1279–1368）,,Handscroll；纸上的墨水和浅色,,52.7 × 231.1 cm (20 3/4 × 91 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/76279,"https://www.artic.edu/iiif/2/f78addab-4d3a-f87c-4c83-7eae824c7504/full/843,/0/default.jpg",,凯特·S·白金汉捐赠基金会,,2026-05-27,元朝（1271-1368）,未知,Handscroll；纸上的墨水和浅色,中文,0.8,"Artist Unknown
Chinese",China,Chinese (culture or style),Arts of Asia,,f78addab-4d3a-f87c-4c83-7eae824c7504,,,False,Yang Pu Moving His Family,Yuan dynasty (1279–1368) 元朝,,Handscroll; ink and light color on paper,,Chinese,Kate S. Buckingham Endowment,Yuan dynasty (1271-1368),Unknown,Handscroll; ink and light color on paper,Art Institute of Chicago,Yuan dynasty (c. 1271),未知,墨水
68830,皇帝的长袍（半正式的宫廷长袍）,清朝（1644-1911），1825/50,,丝绸、狭缝挂毯编织；涂漆细节；上袖：丝绸、缎纹织物，由斜纹织物区域自行图案；下袖：丝绸、斜纹织物；肋骨凹陷,,151.4 × 199.7 cm (59 5/8 × 78 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/68830,"https://www.artic.edu/iiif/2/2363a024-8729-2824-8be4-af724d70a0df/full/843,/0/default.jpg",,古董协会的礼物,,2026-05-27,清朝（1644-1912）,未知,丝绸,中文,0.8,"Manchu
China",China,qing,Textiles,,2363a024-8729-2824-8be4-af724d70a0df,,,True,Emperor's Jifu (Semiformal Court Robe),"Qing dynasty (1644–1911), 1825/50",,"Silk, slit tapestry weave; painted details; upper sleeves: silk, satin weave self-patterned by areas of twill weave; lower sleeves: silk, twill weave; impressed ribs",,Chinese,Gift of the Antiquarian Society,Qing dynasty (1644-1912),Unknown,Silk,Art Institute of Chicago,Qing dynasty (c. 1644),未知,丝绸
21292,花园里有学者和服务员的盘子,清朝（1644-1911），康熙时期（1662-1722）,,釉下蓝瓷器,,2.7 × 18.3 cm (1 1/16 × 7 3/16 in.); Diam.: 18.3 cm (7 3/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/21292,"https://www.artic.edu/iiif/2/e2539868-0523-0dc2-3644-d261c5a9e61e/full/843,/0/default.jpg",,拉塞尔·泰森的遗赠,,2026-05-27,清朝（1644-1912）,未知,瓷,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,e2539868-0523-0dc2-3644-d261c5a9e61e,,,False,Plate with Scholar and Attendant in Garden,"Qing dynasty (1644–1911), Kangxi period (1662–1722)",,Porcelain painted in underglaze blue,,Chinese,Bequest of Russell Tyson,Qing dynasty (1644-1912),Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1644),未知,瓷
68715,匕首（ge）,商朝（约公元前1600-1046年）,,翡翠,,19.6 × 4.1 × 0.3 cm (7 3/4 × 1 5/8 × 1/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/68715,,,爱德华和路易丝B.Sonnenschein收藏,,2026-05-27,商朝（约公元前1600-1046年）,未知,翡翠,中文,0.6000000000000001,China,China,Chinese (culture or style),Arts of Asia,,,,False,True,Dagger-Blade (ge),Shang dynasty (c. 1600–1046 BC),,Jade,,Chinese,Edward and Louise B. Sonnenschein Collection,Shang dynasty (c. 1600-1046 BCE),Unknown,Jade,Art Institute of Chicago,Ming dynasty (c. 1600),未知,翡翠
79322,悲伤的上升，板九从梦,1879,,镶嵌象牙瓷纸上的石版画,,27 × 20 cm (10 11/16 × 7 7/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/79322,"https://www.artic.edu/iiif/2/64e2e3cb-2406-868c-0cd3-73ed2d5951a6/full/843,/0/default.jpg",,Stickney系列,,2026-05-27,1879,未知,象牙,未知,0.8,"Odilon Redon
French, 1840-1916",France,,Prints and Drawings,,64e2e3cb-2406-868c-0cd3-73ed2d5951a6,,,False,"Sad Ascent, plate nine from In Dreams",1879,,Lithograph on mounted ivory China paper,,Unknown,The Stickney Collection,1879,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1879),未知,象牙
21481,带有动物手柄的香炉,北宋（960-1127），11-12世纪,,官窑；青瓷釉面石器,,7.6 × 14.4 × 10.9 cm (3 × 5 11/16 × 4 5/16 cm),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/21481,"https://www.artic.edu/iiif/2/c85c1983-7400-34b7-0d28-24b66c0a1b9f/full/843,/0/default.jpg",,拉塞尔·泰森的遗赠,,2026-05-27,宋朝（960-1279）,未知,炻器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,c85c1983-7400-34b7-0d28-24b66c0a1b9f,,,False,Incense Burner with Animal Handles,"Northern Song dynasty (960–1127), 11th –12th century",,Guan ware; celadon-glazed stoneware,,Chinese,Bequest of Russell Tyson,Song dynasty (960-1279),Unknown,Stoneware,Art Institute of Chicago,Song dynasty (c. 960),未知,炻器
105595,鸟形船,唐朝（618-907），8世纪上半叶,,三色铅釉陶器,,H.: 34.7 cm (13 11/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/105595,"https://www.artic.edu/iiif/2/04285ccb-54e4-379f-7316-fa10f7fc1f9f/full/843,/0/default.jpg",,Janis H.Palmer的遗赠,,2026-05-27,唐朝（618-907）,未知,陶器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,04285ccb-54e4-379f-7316-fa10f7fc1f9f,,,False,Vessel in Form of a Bird,"Tang dynasty (618–907), first half of 8th century",,Earthenware with three-color (sancai) lead glazes,,Chinese,Bequest of Janis H. Palmer,Tang dynasty (618-907),Unknown,Earthenware,Art Institute of Chicago,Tang dynasty (c. 618),未知,陶器
111862,穿过田野，风景和室内板块三,1899,,灰色象牙瓷纸上的彩色石版画,,Image: 26 × 34.6 cm (10 1/4 × 13 5/8 in.); Sheet: 31.4 × 40.7 cm (12 3/8 × 16 1/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/111862,"https://www.artic.edu/iiif/2/0a1ba4ad-1ffa-8843-5920-90f301986de3/full/843,/0/default.jpg",,沃尔特·布鲁斯特的礼物,,2026-05-27,1899,未知,象牙,未知,0.8,"Edouard Jean Vuillard (French, 1868-1940)
printed by Auguste Clot (French, 1858-1936)
published by Ambroise Vollard (French, 1867-1939)",France,,Prints and Drawings,,0a1ba4ad-1ffa-8843-5920-90f301986de3,,,False,"Across the Fields, plate three from Landscapes and Interiors",1899,,Color lithograph on grayish-ivory China paper,,Unknown,Gift of Walter S. Brewster,1899,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1899),未知,象牙
192877,死去的孩子,1874,,灰色象牙色编织中国纸上的黑色石版画,,Image: 21.7 × 27.2 cm (8 9/16 × 10 3/4 in.); Sheet: 30.8 × 39.6 cm (12 3/16 × 15 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/192877,"https://www.artic.edu/iiif/2/1db1d8e7-a5c4-9a60-e654-f4571c265a67/full/843,/0/default.jpg",,西莉亚和大卫·希利亚德的礼物,,2026-05-27,1874,未知,象牙,未知,0.8,"Camille Pissarro
French, 1830-1903",France,,Prints and Drawings,,1db1d8e7-a5c4-9a60-e654-f4571c265a67,,,False,Dead Child,1874,,Lithograph in black on grayish-ivory wove China paper,,Unknown,Gift of Celia and David Hilliard,1874,Unknown,Ivory,Art Institute of Chicago,Qing dynasty (c. 1874),未知,象牙
8076,《死亡与年轻的母亲》，出自幻想家杂志,1861,,在白色编织纸上的奶油瓷纸上蚀刻和轮盘赌,,Image/chine: 13.7 × 8.8 cm (5 7/16 × 3 1/2 in.); Plate: 17 × 12.3 cm (6 3/4 × 4 7/8 in.); Sheet: 22 × 15.9 cm (8 11/16 × 6 5/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/8076,"https://www.artic.edu/iiif/2/7e9041d2-85fa-d76c-9592-10c26f9263e9/full/843,/0/default.jpg",,沃尔特·布鲁斯特的礼物,,2026-05-27,1861,未知,在白色编织纸上的奶油瓷纸上蚀刻和轮盘赌,未知,0.8,"Rodolphe Bresdin
French, 1825-1885",France,,Prints and Drawings,,7e9041d2-85fa-d76c-9592-10c26f9263e9,,,False,"Death and the Young Mother, from Revue Fantaisiste",1861,,Etching and roulette on cream China paper laid down on white wove paper,,Unknown,Gift of Walter S. Brewster,1861,Unknown,Etching and roulette on cream China paper laid down on white wove paper,Art Institute of Chicago,Qing dynasty (c. 1861),未知,瓷
109230,高脚杯,商朝（约公元前1600-1046年），公元前13/12世纪,,青铜,,27.2 × 17 cm (10 3/4 × 6 11/16 in.); Diam.: 17 cm (6 11/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/109230,"https://www.artic.edu/iiif/2/1f1d5da3-9e53-2250-cb35-e71a11692790/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,商朝（约公元前1600-1046年）,未知,青铜,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,1f1d5da3-9e53-2250-cb35-e71a11692790,,,True,Goblet,"Shang dynasty ( about 1600–1046 BC ), 13th/12th century BC",,Bronze,,Chinese,Lucy Maud Buckingham Collection,Shang dynasty (c. 1600-1046 BCE),Unknown,Bronze,Art Institute of Chicago,Ming dynasty (c. 1600),未知,青铜
12497,寸地菩萨,清朝（1644-1911），18世纪,,德化瓷；瓷器,,37.2 × 21.5 × 13.1 cm (14 5/8 × 8 7/16 × 5 3/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/12497,"https://www.artic.edu/iiif/2/fd30e681-3ecc-ff9a-833f-036a834de9f9/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,清朝（1644-1912）,未知,瓷,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,fd30e681-3ecc-ff9a-833f-036a834de9f9,,,False,Cundi Bodhisattva,"Qing dynasty (1644–1911), 18th century",,Dehua ware (blanc de chine); porcelain,,Chinese,Lucy Maud Buckingham Collection,Qing dynasty (1644-1912),Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1644),未知,瓷
198345,罐子（胡）,西周，公元前927-850年。,,青铜,,48.5 × 30 × 24.5 cm (19 1/4 × 11 3/4 × 9 5/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/198345,"https://www.artic.edu/iiif/2/740bc9d3-8194-7e43-5eb2-0a13d55ce2f7/full/843,/0/default.jpg",,Fred Eychaner和Tommy Yang Guo的礼物,,2026-05-27,西周（公元前1046-771年）,未知,青铜,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,740bc9d3-8194-7e43-5eb2-0a13d55ce2f7,,,True,Jar (hu),"Western Zhou dynasty, 927–850 B.C.",,Bronze,,Chinese,Gift of Fred Eychaner and Tommy Yang Guo,Western Zhou dynasty (1046-771 BCE),Unknown,Bronze,Art Institute of Chicago,Song dynasty (c. 1046),未知,青铜
37729,坐着的女孩拿着镜子,唐朝（618-907），8世纪上半叶,,三彩铅釉和微量颜料陶器,,28.5 × 11 cm (11 1/4 × 4 5/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/37729,"https://www.artic.edu/iiif/2/d6c74cd7-b2bc-15f1-f0f6-e0b67cc818c6/full/843,/0/default.jpg",,Janis H.Palmer夫人的礼物,,2026-05-27,唐朝（618-907）,未知,陶器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,d6c74cd7-b2bc-15f1-f0f6-e0b67cc818c6,,,False,Seated Girl Holding Mirror,"Tang dynasty (618–907), first half of 8th century",,Earthenware with three-color (sancai) lead glazes and traces of pigments,,Chinese,Gift of Mrs. Janis H. Palmer,Tang dynasty (618-907),Unknown,Earthenware,Art Institute of Chicago,Tang dynasty (c. 618),未知,陶器
133834,叹息桥,1883,,在奶油色的中国纸上用干版画蚀刻,,Image: 27.1 × 21.4 cm (10 11/16 × 8 7/16 in.); Plate: 27.8 × 22.1 cm (11 × 8 3/4 in.); Sheet: 43.2 × 30.3 cm (17 1/16 × 11 15/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/133834,"https://www.artic.edu/iiif/2/0aa1c54f-01e4-71a2-3d4e-6e05d8a700b7/full/843,/0/default.jpg",,艺术家的礼物,,2026-05-27,1883,未知,在奶油色的中国纸上用干版画蚀刻,未知,0.8,"Frank Duveneck
American, 1848-1919",United States,,Prints and Drawings,,0aa1c54f-01e4-71a2-3d4e-6e05d8a700b7,,,False,The Bridge of Sighs,1883,,"Etching, with drypoint, on cream China paper",,Unknown,Gift of the artist,1883,Unknown,"Etching, with drypoint, on cream China paper",Art Institute of Chicago,Qing dynasty (c. 1883),未知,油
48321,中国娃娃,1974,,手工纸上的蚀刻、压花、浮雕,,Image: 37.5 × 37.5 cm (14 13/16 × 14 13/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/48321,,,用Robert A.Kubicek夫人提供的资金购买,,2026-05-27,1974,未知,手工纸上的蚀刻、压花、浮雕,未知,0.6000000000000001,"Alan Shields
American, 1944-2005",United States,,Prints and Drawings,,,,False,False,China Doll,1974,,"Etching, embossing, relief on handmade paper",,Unknown,Purchased with funds provided by Mrs. Robert A. Kubicek,1974,Unknown,"Etching, embossing, relief on handmade paper",Art Institute of Chicago,Qing dynasty (c. 1974),未知,纸
16811,旧中国,1952/63,,明胶银印,,Image/paper: 34 × 26.9 cm (13 7/16 × 10 5/8 in.); Mount: 55.9 × 45.8 cm (22 1/16 × 18 1/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/16811,"https://www.artic.edu/iiif/2/1be43c90-3207-a05c-6069-48270a23a88a/full/843,/0/default.jpg",,艺术家的礼物,,2026-05-27,1952/63,未知,明胶银,未知,0.8,"Dennis Stock
American, 1928–2010",United States,,Photography and Media,,1be43c90-3207-a05c-6069-48270a23a88a,,,False,Old China,1952/63,,Gelatin silver print,,Unknown,Gift of the artist,1952/63,Unknown,Gelatin silver,Art Institute of Chicago,Qing dynasty (c. 1952),未知,银
70169,盘绕动物吊坠,东周或西汉,,翡翠,,Diam.: 3.8 cm (1 1/2 in.); Thickness: D.: 0.3 cm (1/8 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/70169,,,爱德华和路易丝B.Sonnenschein收藏,,2026-05-27,汉朝（公元前206年-公元220年）,未知,翡翠,中文,0.6000000000000001,China,China,Chinese (culture or style),Arts of Asia,,,,False,False,Coiled Animal Pendant,"Eastern Zhou dynasty or Western Han dynasty 
3rd/2nd century B.C.",,Jade,,Chinese,Edward and Louise B. Sonnenschein Collection,Han dynasty (206 BCE-220 CE),Unknown,Jade,Art Institute of Chicago,汉朝（公元前206年-公元220年）,未知,翡翠
21341,椭圆形尤尔犬，有喇叭形、喙形喷口、花朵奖章和带棕榈叶的拉链状带子,唐朝（公元618-907年），8世纪,,釉下模压和应用装饰的石器,,33 × 15.8 cm (13 × 6 1/4 in.); Diam.: 15.8 cm (6 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/21341,"https://www.artic.edu/iiif/2/d383623c-4c9b-2cc4-4253-8e22d1ce456e/full/843,/0/default.jpg",,拉塞尔·泰森的遗赠,,2026-05-27,唐朝（618-907）,未知,炻器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,d383623c-4c9b-2cc4-4253-8e22d1ce456e,,,False,"Ovoid Ewer with Flaring, Beak-Shaped Spout, Floral Medallion, and Zipper-like Band with Palmette","Tang dynasty (A.D. 618–907), 8th century",,Stoneware with underglaze molded and applied decoration,,Chinese,Bequest of Russell Tyson,Tang dynasty (618-907),Unknown,Stoneware,Art Institute of Chicago,Tang dynasty (c. 618),未知,炻器
12731,带有叶子卷轴手柄和花卉喷雾设计的花瓶,清朝（1644-1911），乾隆统治时期（1736-1795）,,clair de lune釉瓷器,,17.1 × 13.4 cm (6 3/4 × 5 1/4 in.); Diam.: 13.4 cm (5 1/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/12731,"https://www.artic.edu/iiif/2/fd5aa372-c02d-369d-d429-06c63290e8b4/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,清朝（1644-1912）,未知,瓷,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,fd5aa372-c02d-369d-d429-06c63290e8b4,,,False,Vase with Leaf Scroll Handles and Floral Spray Design,"Qing dynasty (1644–1911), Qianlong reign mark and period (1736–1795)",,Porcelain with clair de lune glaze,,Chinese,Lucy Maud Buckingham Collection,Qing dynasty (1644-1912),Unknown,Porcelain,Art Institute of Chicago,Qing dynasty (c. 1644),未知,瓷
12735,梨花莲花瓣,宋朝（960-1279），13世纪,,青瓷釉面石器，釉下成型、雕刻和应用装饰,,12.6 × 10.9 cm (4 15/16 × 4 5/16 in.); Diam.: 10.9 cm (4 5/16 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/12735,"https://www.artic.edu/iiif/2/94dd5940-5a42-414b-5e7a-92fe13868431/full/843,/0/default.jpg",,露西·莫德·白金汉收藏,,2026-05-27,宋朝（960-1279）,未知,炻器,中文,0.8,China,China,Chinese (culture or style),Arts of Asia,,94dd5940-5a42-414b-5e7a-92fe13868431,,,False,Ewer with Lotus Flower Petals,"Song dynasty (960–1279), 13th century",,"Celadon-glazed stoneware with underglaze molded, carved, and applied decoration",,Chinese,Lucy Maud Buckingham Collection,Song dynasty (960-1279),Unknown,Stoneware,Art Institute of Chicago,Song dynasty (c. 960),未知,炻器
70207,跪姿人像,公元前两千年末。,,亚氯酸盐,,19.6 × 7 × 9.8 cm (7 3/4 × 2 3/4 × 3 3/4 in.),Art Institute of Chicago,"Chicago, United States",https://www.artic.edu/artworks/70207,,,爱德华和路易丝B.Sonnenschein收藏,,2026-05-27,公元前两千年末。,未知,亚氯酸盐,中文,0.6000000000000001,"China, probably Sichuan province",China,Chinese (culture or style),Arts of Asia,,,,False,False,Kneeling Figure,late 2nd millennium B.C.,,Chlorite,,Chinese,Edward and Louise B. Sonnenschein Collection,late 2nd millennium B.C.,Unknown,Chlorite,Art Institute of Chicago,公元前两千年末。,未知,
