object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,standardized_period,standardized_type,standardized_material,culture,data_quality_score,_culture,_findspot,_object_name_detail,_image_valid,is_duplicate,title_original_en,period_original_en,type_original_en,material_original_en,description_original_en,culture_original_en,credit_line_original_en,standardized_period_original_en,standardized_type_original_en,standardized_material_original_en,_plant_name,_collection,_source,_sourceId,_sourceType,_url,_imageUrl,_accessionNumber,_onView,_classification,_startYear,_dates,_endYear,_artist,_place_of_origin,_style,_department,_technique,_image_id,_category,_dynasty,_reign,_object_date,_country,_region,_artist_bio,_artist_nationality,_image_small,_accession_year,_is_public_domain,_displayculture,_displaydate,_displayperiod,_objectnumber,_medium_detail,image_valid,aligned_museum,museum_location,aligned_period,period_era,aligned_type,type_category,type_subcategory,aligned_material,material_category
222674,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222674,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.21c_PS9.jpg,,,2016.3.21c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222674.0,collectionObject,https://www.brooklynmuseum.org/objects/222674,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.21c_PS9.jpg,2016.3.21c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222549,《无题》（四种姿势：站立，从左看；躺着；站立，从右看；坐着），来自Jeremy Deller的Iggy Pop Life Class,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222549,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.2a_PS9.jpg,,,2016.3.2a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,"Untitled (Four Poses: Standing, View from Left; Lying; Standing, View from Right; and Sitting) from Iggy Pop Life Class by Jeremy Deller",2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222549.0,collectionObject,https://www.brooklynmuseum.org/objects/222549,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.2a_PS9.jpg,2016.3.2a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222665,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222665,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.20c_PS9.jpg,,,2016.3.20c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222665.0,collectionObject,https://www.brooklynmuseum.org/objects/222665,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.20c_PS9.jpg,2016.3.20c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222620,Jeremy Deller的《Iggy Pop Life Class》中的《无题（撒谎姿势）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222620,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.14b_PS9.jpg,,,2016.3.14b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222620.0,collectionObject,https://www.brooklynmuseum.org/objects/222620,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.14b_PS9.jpg,2016.3.14b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222602,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222602,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11a_PS9.jpg,,,2016.3.11a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222602.0,collectionObject,https://www.brooklynmuseum.org/objects/222602,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11a_PS9.jpg,2016.3.11a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222611,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222611,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.12e_PS9.jpg,,,2016.3.12e,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Seated Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222611.0,collectionObject,https://www.brooklynmuseum.org/objects/222611,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.12e_PS9.jpg,2016.3.12e,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222580,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222580,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.7c_PS9.jpg,,,2016.3.7c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222580.0,collectionObject,https://www.brooklynmuseum.org/objects/222580,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.7c_PS9.jpg,2016.3.7c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222594,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222594,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.10b_PS9.jpg,,,2016.3.10b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Sitting Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222594.0,collectionObject,https://www.brooklynmuseum.org/objects/222594,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.10b_PS9.jpg,2016.3.10b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222586,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222586,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8d_PS9.jpg,,,2016.3.8d,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Sitting Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222586.0,collectionObject,https://www.brooklynmuseum.org/objects/222586,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8d_PS9.jpg,2016.3.8d,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222583,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222583,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8a_PS9.jpg,,,2016.3.8a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222583.0,collectionObject,https://www.brooklynmuseum.org/objects/222583,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8a_PS9.jpg,2016.3.8a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222636,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222636,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.16c_PS9.jpg,,,2016.3.16c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222636.0,collectionObject,https://www.brooklynmuseum.org/objects/222636,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.16c_PS9.jpg,2016.3.16c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222584,Jeremy Deller的《Iggy Pop Life Class》中的《无题（撒谎姿势）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222584,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8b_PS9.jpg,,,2016.3.8b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222584.0,collectionObject,https://www.brooklynmuseum.org/objects/222584,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8b_PS9.jpg,2016.3.8b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222618,Jeremy Deller的《Iggy Pop Life Class》中的《无题（漫画）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222618,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.13f_PS9.jpg,,,2016.3.13f,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Caricatures) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222618.0,collectionObject,https://www.brooklynmuseum.org/objects/222618,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.13f_PS9.jpg,2016.3.13f,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222591,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222591,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9d_PS9.jpg,,,2016.3.9d,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Seated Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222591.0,collectionObject,https://www.brooklynmuseum.org/objects/222591,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9d_PS9.jpg,2016.3.9d,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222562,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222562,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.3d_PS9.jpg,,,2016.3.3d,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Sitting Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222562.0,collectionObject,https://www.brooklynmuseum.org/objects/222562,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.3d_PS9.jpg,2016.3.3d,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222551,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222551,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.4a_PS9.jpg,,,2016.3.4a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222551.0,collectionObject,https://www.brooklynmuseum.org/objects/222551,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.4a_PS9.jpg,2016.3.4a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222602,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222602,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11a_PS9.jpg,,,2016.3.11a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222602.0,collectionObject,https://www.brooklynmuseum.org/objects/222602,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11a_PS9.jpg,2016.3.11a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222566,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222566,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.4c_PS9.jpg,,,2016.3.4c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222566.0,collectionObject,https://www.brooklynmuseum.org/objects/222566,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.4c_PS9.jpg,2016.3.4c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222623,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222623,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.14e_PS9.jpg,,,2016.3.14e,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Seated Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222623.0,collectionObject,https://www.brooklynmuseum.org/objects/222623,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.14e_PS9.jpg,2016.3.14e,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222590,无题（两个姿势：站着和坐着）来自Jeremy Deller的Iggy Pop Life Class,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222590,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9c_PS9.jpg,,,2016.3.9c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Two Poses: Standing and Sitting) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222590.0,collectionObject,https://www.brooklynmuseum.org/objects/222590,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9c_PS9.jpg,2016.3.9c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222589,Jeremy Deller的《Iggy Pop Life Class》中的《无题（撒谎姿势）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222589,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9b_PS9.jpg,,,2016.3.9b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222589.0,collectionObject,https://www.brooklynmuseum.org/objects/222589,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.9b_PS9.jpg,2016.3.9b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222611,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222611,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.12e_PS9.jpg,,,2016.3.12e,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Seated Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222611.0,collectionObject,https://www.brooklynmuseum.org/objects/222611,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.12e_PS9.jpg,2016.3.12e,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222580,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222580,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.7c_PS9.jpg,,,2016.3.7c,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222580.0,collectionObject,https://www.brooklynmuseum.org/objects/222580,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.7c_PS9.jpg,2016.3.7c,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222663,杰里米·德勒的《Iggy Pop Life Class》中的《无题（站姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222663,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.20a_PS9.jpg,,,2016.3.20a,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Standing Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222663.0,collectionObject,https://www.brooklynmuseum.org/objects/222663,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.20a_PS9.jpg,2016.3.20a,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222558,无题（坐姿，手的细节）来自Jeremy Deller的Iggy Pop Life Class,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222558,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1h_PS9.jpg,,,2016.3.1h,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,"Untitled (Sitting Pose, Detail of Hand) from Iggy Pop Life Class by Jeremy Deller",2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222558.0,collectionObject,https://www.brooklynmuseum.org/objects/222558,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1h_PS9.jpg,2016.3.1h,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222555,Jeremy Deller的《Iggy Pop Life Class》中的《无题（站姿，后视图）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222555,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1e_PS9.jpg,,,2016.3.1e,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,"Untitled (Standing Pose, Back View) from Iggy Pop Life Class by Jeremy Deller",2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222555.0,collectionObject,https://www.brooklynmuseum.org/objects/222555,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1e_PS9.jpg,2016.3.1e,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222594,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222594,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.10b_PS9.jpg,,,2016.3.10b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Sitting Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222594.0,collectionObject,https://www.brooklynmuseum.org/objects/222594,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.10b_PS9.jpg,2016.3.10b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222586,杰里米·德勒的《Iggy Pop Life Class》中的《无题（坐姿）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222586,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8d_PS9.jpg,,,2016.3.8d,2026-05-27,2016,绘图,未知,未知,0.7,,,,,True,Untitled (Sitting Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222586.0,collectionObject,https://www.brooklynmuseum.org/objects/222586,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.8d_PS9.jpg,2016.3.8d,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222691,Jeremy Deller的《Iggy Pop Life Class》中的《无题（坐姿，后视图）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222691,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1i_PS9.jpg,,,2016.3.1i,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,"Untitled (Seated Pose, Back View) from Iggy Pop Life Class by Jeremy Deller",2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222691.0,collectionObject,https://www.brooklynmuseum.org/objects/222691,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.1i_PS9.jpg,2016.3.1i,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222603,Jeremy Deller的《Iggy Pop Life Class》中的《无题（撒谎姿势）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222603,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11b_PS9.jpg,,,2016.3.11b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222603.0,collectionObject,https://www.brooklynmuseum.org/objects/222603,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.11b_PS9.jpg,2016.3.11b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
222673,Jeremy Deller的《Iggy Pop Life Class》中的《无题（撒谎姿势）》,2016,绘图,,,,Brooklyn Museum,"Brooklyn, New York, United States",https://www.brooklynmuseum.org/objects/222673,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.21b_PS9.jpg,,,2016.3.21b,2026-05-27,2016,绘图,未知,未知,0.7,,,,,False,Untitled (Lying Pose) from Iggy Pop Life Class by Jeremy Deller,2016,Drawing,,,Unknown,,2016,Drawing,Unknown,,,sanity,222673.0,collectionObject,https://www.brooklynmuseum.org/objects/222673,https://brooklynmuseum.b-cdn.net/collections/objects/2016.3.21b_PS9.jpg,2016.3.21b,False,Drawing,2016.0,2016,2016.0,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Museum,"Brooklyn, New York, United States",Qing dynasty (c. 2016),Unknown,绘图,Unknown,Unknown,,Unknown
